"","ASV_16","ASV_19","ASV_20","ASV_239","ASV_29","ASV_32","ASV_34","ASV_51","ASV_6","ASV_8","ASV_500","ASV_635","ASV_81","ASV_2","ASV_107","ASV_150","ASV_310","ASV_39","ASV_128","ASV_258","other"
"(Intercept)",12.5957129395026,14.7582240993633,12.2170276556517,10.9576647862481,12.466098639108,13.874616018705,12.4605324119541,13.0332917118985,13.9635029238195,17.6637958749448,10.1996302279391,9.13623424126677,9.68584570121175,15.1065291209827,9.92234173289499,8.76627457146221,9.29864606677332,9.91092971108962,10.2774032842258,9.55210645602867,23.5284994851239
"quinolones_intravenous",0.667915854501306,0.545235484381662,0.206716318419697,0.0743706583307743,0.545599454975021,1.61485436444314,1.10058782214936,1.74010313553265,0.821940705440775,0.485736654538506,0.54128173729274,1.19639899401436,1.29387753244667,0.0622834094268428,1.0491936930246,2.27323940492691,1.48674391820507,-0.280899144359264,1.32642899831871,1.82942662916645,0.435099271518067
"aztreonam_intravenous",-2.82210656077309,-2.47669980417281,-2.91110992880398,-2.4685993002232,-3.53849503982657,-1.54756723659726,-2.22286504852174,-3.49841647636398,-2.92211622859629,-0.852409107461471,-1.89436791665577,0.527156013661441,-0.843933063663692,-3.39261074832667,-0.596473897354264,-1.5838179088914,-0.834016598772144,-0.670239343641104,-1.52113797880834,-0.730569021924393,-2.49559880802936
"glycopeptide_antibiotics_intravenous",0.318729133513895,-0.588705804898514,-1.17629391411227,-0.40002812663966,-1.30012615346081,-0.678052384448992,-0.50672495626309,0.0355648390470847,-0.370410159778401,-0.521394078417594,-0.55642297613216,-0.123134463928724,0.132230995706733,-0.780245962261044,-0.460025830900821,-0.0995347732557145,-0.454852227104215,-0.837452950655186,0.439423591578768,-0.370197874418443,-0.883199728603803
"sulfonamides_oral",1.67648630802694,2.41689738453128,3.92369329096658,1.98323441209043,4.11307683197206,0.993872808853363,2.3262410972207,2.06560477813054,2.39728328498776,0.575570635005682,0.0424857623267789,1.38812743262711,-0.255801810562563,0.640191234158419,0.676214554066792,1.64883415351774,0.169552208719836,0.502951807106546,0.627591970288541,1.22057982558443,1.45485164639023
"cephalosporins_intravenous",-1.1472773108476,-1.9978356701555,-1.36655338471511,-0.710521563090943,-1.8578297998186,-1.56595083947209,-1.34317860640451,-1.07101526951136,-1.30577373591433,-1.44179466643331,-0.576938618224558,-1.33416740794619,-0.872915346060033,0.73498718203813,-0.579521654522896,-1.31465981319639,-1.2879346050166,-0.622477437715191,-0.775519276448148,-1.21435874011705,-0.876620408766347
"macrolide_derivatives_oral",1.5702942660989,0.464310593285438,-0.553861964410165,1.76946526645499,0.375276171828446,1.53798092149537,0.531105378641787,-0.489777668261513,-0.443925818746073,1.14236966615293,1.36080313139322,-0.152571700636717,2.70276014441428,3.48343528447838,2.37010333843713,1.05710727707145,4.31633852063622,2.94600379151049,0.857124626379064,1.95955401563068,1.14377506262562
"quinolones_oral",0.246837360040952,-0.664220251315361,-0.949308933767731,0.244269032378413,-0.881587404519475,1.61583775090692,-1.16378586516862,1.01970630443654,0.408419593717133,0.305584107123202,0.324004378714124,2.26360999574954,1.7271903946902,0.102240704883784,-0.103192585741917,1.54212523066944,1.25584777453711,-0.915526080557817,1.3706146714287,1.14336029798739,-0.0678854538493097
"metronidazole_intravenous",1.01979905533357,0.172419262096157,-1.38371819017999,-1.13430170751429,1.07276794941737,1.59956844175719,-1.44989041689211,0.748030610077128,1.1638060520819,0.446366033454266,0.231573648835895,2.780603834134,-0.726558009660279,1.65275363278137,1.53868934652951,-0.378445390720784,0.20291403648179,1.17822419527512,1.39574224342353,-1.04900276334402,0.123489787155745
"carbapenems_intravenous",-1.08033353094248,-2.45245263226699,-2.35504620353921,-1.75105526459758,-2.97233958892492,-3.88636164226527,-3.53154676900905,-3.10276032167388,-2.651290390997,-2.46842644067647,-2.04769815533547,-2.94438468409655,-3.14149269351021,-0.926570736360846,-1.83434886022429,-2.58461908048964,-2.60166745986382,0.459400647099857,-2.81164261731768,-2.88477189903994,-2.19133553041048
"other_antibiotics_oral",0.706368525119139,-1.85991471229741,-2.03060791784512,-0.529426471595295,-1.01596156957755,-0.263707181806349,-0.0892124090155276,-0.0552574049961311,-1.54536519543883,0.0510398799947368,2.14866534222532,-0.153021786552739,0.0576858290629865,0.83305338357852,-0.123899091956826,-0.712299197562668,0.686082072894219,1.16047956997054,1.31242360342879,-0.020430393383324,-0.115788903357205
"oxazolidinone_antibiotics_intravenous",-0.239470826571043,-2.38947174189865,-2.88572644751951,-0.975030151953146,-3.73929298078293,-0.806286264795147,-3.58466405157232,-2.34544071901172,-2.3374609005894,-0.882392243193665,-1.34034537827323,-2.28343711646895,-2.36523420993867,-2.28648158398792,-1.99910987341711,-2.52795715955465,-2.18842370457841,-3.20906988276665,-1.88993794424371,-0.70286813184579,-3.08876616725241
"penicillins_intravenous",-0.657916188149216,-2.9826351684867,-2.87485033404923,-0.7966184014867,-3.40233018269327,-2.76486938160816,-2.98277141637178,-1.86984243632256,-2.67327152387464,-1.71078353048445,-1.56154836427792,-2.65293680070392,-1.23767302189764,-0.776952024360323,-2.13420423262132,-2.49987007370225,-2.98731634544797,-0.728167389788514,-1.74261099791583,-3.0056147069899,-3.14504782834448
"cephalosporins_oral",-2.42720522369256,0.949383798550093,3.22926723550916,-0.542331149664725,0.840596517526188,0.561549017226437,1.20215456407514,0.665164300812406,1.32515519346856,1.30146724404057,-0.237799830771163,-3.13853574340591,0.672944580884734,-0.410899681478597,0.0527614065598586,-2.1933220430981,-1.66555458971393,-4.94372787692926,-2.57696840868947,-1.20888011398485,-0.14687170803195
"macrolide_derivatives_intravenous",-6.46998294150985,-10.4886060845997,-10.1043393976234,-7.28586916361183,-8.83398560350376,-10.2692829684672,-8.69001008845628,-9.88419182324849,-11.7627424491362,-9.49937628646951,-10.9695922825943,-10.5503939729792,-4.53026116231713,0.987715043777317,-9.6840999653322,-7.69739796400374,-9.24358502260895,-8.43076056051768,-8.71220480661648,-8.39708751362049,-8.73854049881196
"sulfonamides_intravenous",2.53404775114149,-2.18063756576355,4.82851759172531,0.336799062566065,-2.66592898637563,1.44499141492442,5.34907833938539,1.87277044441727,0.413588336811491,-0.63637288371765,-1.29185174584807,-2.18314648817531,-3.0202077677037,-0.670169534266855,0.26177228315981,3.88212711346468,-1.43659781544438,-0.978501013405047,-1.01724483189969,0.412645032441412,-0.0896643399993261
"other_antibiotics_intravenous",-1.01827117718161,-1.22470521826653,-0.888974342268315,-1.65401756150557,-2.00319428879599,-2.24641547679355,-1.93124976463089,-2.16091465144146,-0.665437139149565,-1.26325076652679,-1.45290510539092,-2.60745663056793,-4.52521652377051,-0.329752541693771,-2.90203284976831,-1.62258019476587,-2.0424277237625,-3.18746924351906,-2.00741849626594,-2.44033206746271,-2.59335993635031
"penicillins_oral",0.20449415405102,-3.92162375740695,-2.1109147917334,-1.11979440283019,-3.47515484790088,-1.69658370408638,-2.63699921406766,0.0394996432161259,-2.35494564523047,-1.32797929775416,-0.740503950010224,-1.27827690103208,-0.00833149453375227,1.23099513166777,-1.13459356837263,-2.07576173207303,-1.04611360048527,-1.04814661087917,1.00508668385516,-0.485198430121963,-0.707477012661413
"metronidazole_oral",-1.03478721690326,-2.00619399092435,-0.727329661103038,-2.08730241108669,-1.44569926166821,0.679510063781498,-2.01619619117375,1.30029159088061,-1.90549720189741,0.542355968325011,-2.10052198239168,2.15289164640922,-1.43343123023643,-1.28283194985144,-0.928152106212384,1.50928287875475,2.63870352921798,-1.83558109329003,1.60977358487987,-1.68338252105278,-0.136336483048791
"glycopeptide_antibiotics_oral",0.708049147916063,-3.98831423275153,-3.2184105298621,-0.0257072695821959,-3.90742349462126,-0.628606625047159,-3.50307453718798,-0.765695103787565,-3.50174911100616,-0.92723023366648,0.193718827554168,0.846902654900601,1.80504571417489,1.04657007896163,0.440312644611716,-0.0800842916376941,0.264949770239786,1.2978329048104,0.931612648870967,0.351944945104566,-1.18929889559508
